topic,model1,model2,jsd
affirmative-action,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.326
affirmative-action,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.324
affirmative-action,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.25
affirmative-action,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.324
affirmative-action,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.317
affirmative-action,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.343
affirmative-action,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.289
affirmative-action,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.383
affirmative-action,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.344
affirmative-action,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.305
affirmative-action,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.326
affirmative-action,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.284
affirmative-action,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.317
affirmative-action,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.265
affirmative-action,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.292
affirmative-action,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.28
american-israeli-relationship,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.253
american-israeli-relationship,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.264
american-israeli-relationship,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.304
american-israeli-relationship,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.262
american-israeli-relationship,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.339
american-israeli-relationship,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.303
american-israeli-relationship,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.27
american-israeli-relationship,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.21
american-israeli-relationship,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.277
american-israeli-relationship,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.223
american-israeli-relationship,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.321
american-israeli-relationship,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.295
american-israeli-relationship,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.273
american-israeli-relationship,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.267
american-israeli-relationship,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.222
american-israeli-relationship,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.35
american-israeli-relationship,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.339
american-israeli-relationship,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.305
american-israeli-relationship,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.277
american-israeli-relationship,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.373
american-israeli-relationship,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.365
american-israeli-relationship,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.328
american-israeli-relationship,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.347
american-israeli-relationship,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.315
american-israeli-relationship,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.291
american-israeli-relationship,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.326
american-israeli-relationship,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.282
american-israeli-relationship,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.257
anti-gay,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.297
anti-gay,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.337
anti-gay,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.353
anti-gay,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.361
anti-gay,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.276
anti-gay,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.291
anti-gay,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.403
anti-gay,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.253
anti-gay,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.347
anti-gay,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.294
anti-gay,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.297
anti-gay,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.339
anti-gay,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.401
anti-gay,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.346
anti-gay,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.273
anti-gay,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.314
anti-gay,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.353
anti-gay,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.421
anti-gay,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.317
anti-gay,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.384
anti-gay,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.385
anti-gay,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.438
anti-gay,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.327
anti-gay,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.365
anti-gay,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.408
anti-gay,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.276
anti-gay,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.338
anti-gay,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.357
anti-science,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.398
anti-science,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.344
anti-science,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.407
anti-science,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.337
anti-science,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.322
anti-science,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.329
anti-science,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.287
anti-science,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.304
anti-science,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.404
anti-science,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.293
anti-science,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.388
anti-science,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.363
anti-science,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.389
anti-science,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.37
anti-science,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.296
anti-science,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.363
anti-science,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.356
anti-science,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.369
anti-science,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.33
anti-science,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.404
anti-science,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.399
anti-science,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.384
anti-science,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.355
anti-science,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.339
anti-science,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.347
anti-science,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.294
anti-science,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.271
anti-science,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.299
atheism-atheist,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.317
atheism-atheist,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.338
atheism-atheist,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.331
atheism-atheist,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.319
atheism-atheist,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.32
atheism-atheist,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.361
atheism-atheist,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.306
atheism-atheist,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.272
atheism-atheist,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.368
atheism-atheist,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.272
atheism-atheist,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.343
atheism-atheist,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.329
atheism-atheist,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.307
atheism-atheist,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.357
atheism-atheist,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.304
atheism-atheist,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.369
atheism-atheist,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.377
atheism-atheist,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.373
atheism-atheist,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.294
atheism-atheist,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.399
atheism-atheist,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.403
atheism-atheist,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.35
atheism-atheist,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.366
atheism-atheist,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.319
atheism-atheist,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.329
atheism-atheist,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.279
atheism-atheist,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.286
atheism-atheist,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.32
biblical,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.303
biblical,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.325
biblical,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.361
biblical,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.312
biblical,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.278
biblical,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.295
biblical,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.31
