topic,model1,model2,jsd
black-lives-matter,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.329
black-lives-matter,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.246
black-lives-matter,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.238
black-lives-matter,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.227
capital-punishment-death-penalty,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.265
capital-punishment-death-penalty,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.275
capital-punishment-death-penalty,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.379
capital-punishment-death-penalty,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.321
capital-punishment-death-penalty,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.335
capital-punishment-death-penalty,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.317
capital-punishment-death-penalty,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.342
capital-punishment-death-penalty,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.226
capital-punishment-death-penalty,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.307
capital-punishment-death-penalty,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.244
capital-punishment-death-penalty,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.314
capital-punishment-death-penalty,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.278
capital-punishment-death-penalty,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.312
capital-punishment-death-penalty,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.309
capital-punishment-death-penalty,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.242
capital-punishment-death-penalty,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.325
capital-punishment-death-penalty,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.297
capital-punishment-death-penalty,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.34
capital-punishment-death-penalty,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.305
capital-punishment-death-penalty,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.414
capital-punishment-death-penalty,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.398
capital-punishment-death-penalty,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.391
capital-punishment-death-penalty,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.342
capital-punishment-death-penalty,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.312
capital-punishment-death-penalty,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.321
capital-punishment-death-penalty,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.266
capital-punishment-death-penalty,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.282
capital-punishment-death-penalty,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.268
capitalism,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.229
capitalism,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.246
capitalism,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.283
capitalism,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.274
capitalism,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.291
capitalism,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.257
capitalism,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.284
capitalism,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.181
capitalism,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.216
capitalism,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.208
capitalism,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.299
capitalism,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.266
capitalism,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.302
capitalism,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.255
capitalism,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.251
capitalism,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.321
capitalism,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.289
capitalism,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.322
capitalism,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.216
capitalism,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.356
capitalism,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.301
capitalism,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.334
capitalism,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.34
capitalism,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.301
capitalism,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.342
capitalism,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.276
capitalism,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.317
capitalism,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.299
civil-rights,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.27
civil-rights,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.289
civil-rights,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.324
civil-rights,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.265
civil-rights,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.297
civil-rights,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.311
civil-rights,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.26
civil-rights,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.254
civil-rights,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.314
civil-rights,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.234
civil-rights,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.306
civil-rights,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.319
civil-rights,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.3
civil-rights,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.298
civil-rights,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.231
civil-rights,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.322
civil-rights,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.326
civil-rights,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.31
civil-rights,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.277
civil-rights,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.355
civil-rights,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.36
civil-rights,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.338
civil-rights,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.312
civil-rights,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.33
civil-rights,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.298
civil-rights,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.257
civil-rights,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.297
civil-rights,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.286
civil-society,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.317
civil-society,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.347
civil-society,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.375
civil-society,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.341
civil-society,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.401
civil-society,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.336
civil-society,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.384
civil-society,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.256
civil-society,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.314
civil-society,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.263
civil-society,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.331
civil-society,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.301
civil-society,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.359
civil-society,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.326
civil-society,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.286
civil-society,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.356
civil-society,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.321
civil-society,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.39
civil-society,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.314
civil-society,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.4
civil-society,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.371
civil-society,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.411
civil-society,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.382
civil-society,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.342
civil-society,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.378
civil-society,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.31
civil-society,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.331
civil-society,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.345
color-blindness,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.297
color-blindness,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.292
color-blindness,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.329
color-blindness,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.28
color-blindness,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.284
color-blindness,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.271
color-blindness,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.32
color-blindness,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.206
color-blindness,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.308
color-blindness,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.276
color-blindness,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.293
color-blindness,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.267
color-blindness,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.352
color-blindness,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.285
color-blindness,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.25
color-blindness,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.32
color-blindness,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.306
color-blindness,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.347
color-blindness,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.255
color-blindness,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.356
color-blindness,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.321
color-blindness,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.359
color-blindness,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.336
color-blindness,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.333
color-blindness,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.313
color-blindness,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.235
color-blindness,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.333
color-blindness,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.337
common-core,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.268
common-core,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.324
common-core,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.308
common-core,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.298
common-core,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.297
common-core,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.292
common-core,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.284
common-core,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.21
common-core,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.29
common-core,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.199
common-core,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.266
common-core,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.257
common-core,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.266
common-core,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.345
common-core,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.22
common-core,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.283
common-core,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.302
common-core,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.299
common-core,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.289
common-core,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.345
common-core,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.365
common-core,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.336
common-core,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.3
common-core,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.297
common-core,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.293
common-core,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.242
common-core,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.208
common-core,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.229
conservative,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.301
conservative,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.328
conservative,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.313
conservative,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.302
conservative,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.3
conservative,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.362
conservative,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.321
conservative,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.277
conservative,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.293
conservative,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.238
conservative,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.309
conservative,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.34
conservative,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.336
conservative,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.348
conservative,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.317
conservative,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.39
conservative,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.404
conservative,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.397
conservative,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.285
conservative,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.341
conservative,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.391
conservative,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.347
conservative,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.332
conservative,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.386
conservative,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.358
conservative,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.33
conservative,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.268
conservative,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.33
conversion-therapy-reparative-therapy,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.275
conversion-therapy-reparative-therapy,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.267
conversion-therapy-reparative-therapy,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.312
conversion-therapy-reparative-therapy,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.291
conversion-therapy-reparative-therapy,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.334
conversion-therapy-reparative-therapy,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.345
conversion-therapy-reparative-therapy,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.337
conversion-therapy-reparative-therapy,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.216
conversion-therapy-reparative-therapy,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.313
conversion-therapy-reparative-therapy,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.243
conversion-therapy-reparative-therapy,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.327
conversion-therapy-reparative-therapy,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.324
conversion-therapy-reparative-therapy,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.336
conversion-therapy-reparative-therapy,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.316
conversion-therapy-reparative-therapy,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.251
conversion-therapy-reparative-therapy,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.342
conversion-therapy-reparative-therapy,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.338
conversion-therapy-reparative-therapy,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.341
conversion-therapy-reparative-therapy,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.259
conversion-therapy-reparative-therapy,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.409
conversion-therapy-reparative-therapy,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.413
conversion-therapy-reparative-therapy,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.374
conversion-therapy-reparative-therapy,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.355
conversion-therapy-reparative-therapy,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.341
conversion-therapy-reparative-therapy,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.341
conversion-therapy-reparative-therapy,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.335
conversion-therapy-reparative-therapy,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.247
conversion-therapy-reparative-therapy,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.323
discrimination,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.356
discrimination,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.369
discrimination,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.396
discrimination,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.369
discrimination,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.331
discrimination,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.345
discrimination,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.322
discrimination,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.267
discrimination,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.352
discrimination,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.302
discrimination,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.35
discrimination,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.349
discrimination,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.362
discrimination,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.378
discrimination,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.291
discrimination,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.342
discrimination,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.353
discrimination,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.359
discrimination,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.358
discrimination,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.416
discrimination,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.396
discrimination,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.426
discrimination,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.395
discrimination,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.409
discrimination,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.4
discrimination,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.322
discrimination,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.305
discrimination,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.301
environmentalist-environmentalism,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.289
environmentalist-environmentalism,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.291
environmentalist-environmentalism,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.339
environmentalist-environmentalism,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.302
environmentalist-environmentalism,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.316
environmentalist-environmentalism,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.327
environmentalist-environmentalism,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.411
environmentalist-environmentalism,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.263
environmentalist-environmentalism,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.292
environmentalist-environmentalism,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.259
environmentalist-environmentalism,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.315
environmentalist-environmentalism,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.304
environmentalist-environmentalism,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.425
environmentalist-environmentalism,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.269
environmentalist-environmentalism,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.252
environmentalist-environmentalism,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.31
environmentalist-environmentalism,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.304
environmentalist-environmentalism,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.435
environmentalist-environmentalism,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.308
environmentalist-environmentalism,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.339
environmentalist-environmentalism,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.35
environmentalist-environmentalism,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.438
environmentalist-environmentalism,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.305
environmentalist-environmentalism,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.299
environmentalist-environmentalism,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.417
environmentalist-environmentalism,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.276
environmentalist-environmentalism,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.398
environmentalist-environmentalism,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.423
equality,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.2
equality,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.221
equality,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.248
equality,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.207
equality,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.238
equality,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.239
equality,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.236
equality,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.158
equality,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.202
equality,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.161
equality,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.237
equality,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.221
equality,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.226
equality,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.216
equality,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.164
equality,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.253
equality,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.231
equality,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.236
equality,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.193
equality,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.286
equality,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.269
equality,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.261
equality,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.256
equality,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.239
equality,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.234
equality,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.173
equality,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.168
equality,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.184
filter-bubble,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.27
filter-bubble,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.272
filter-bubble,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.276
filter-bubble,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.234
filter-bubble,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.278
filter-bubble,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.298
filter-bubble,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.284
filter-bubble,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.247
filter-bubble,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.28
filter-bubble,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.236
filter-bubble,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.307
